dia;mes;año;codClase;hora;codigoMonitor;nParticipantes
1;enero;2023;Yoga001;10;100;24
1;enero;2023;Yoga001;16;100;20
1;enero;2023;Bike001;12;101;22
1;enero;2023;Bike001;18;101;20
1;enero;2023;Zumba001;14;103;22
1;enero;2023;Zumba001;19;103;20
1;enero;2023;Pilates001;11;104;22
1;enero;2023;Pilates001;17;104;23
2;enero;2023;Yoga001;10;100;18
2;enero;2023;Yoga001;16;100;21
2;enero;2023;Bike001;12;101;19
2;enero;2023;Bike001;18;101;23
2;enero;2023;Zumba001;14;103;17
2;enero;2023;Zumba001;19;103;24
2;enero;2023;Pilates001;11;104;19
2;enero;2023;Pilates001;17;104;21
3;enero;2023;Yoga001;10;100;20
3;enero;2023;Yoga001;16;100;19
3;enero;2023;Bike001;12;101;22
3;enero;2023;Bike001;18;101;20
3;enero;2023;Zumba001;14;103;18
3;enero;2023;Zumba001;19;103;22
3;enero;2023;Pilates001;11;104;20
3;enero;2023;Pilates001;17;104;18
4;enero;2023;Yoga001;10;100;25
4;enero;2023;Yoga001;16;100;22
4;enero;2023;Bike001;12;101;21
4;enero;2023;Bike001;18;101;19
4;enero;2023;Zumba001;14;103;23
4;enero;2023;Zumba001;19;103;21
4;enero;2023;Pilates001;11;104;24
4;enero;2023;Pilates001;17;104;20
5;enero;2023;Yoga001;10;100;19
5;enero;2023;Yoga001;16;100;23
5;enero;2023;Bike001;12;101;18
5;enero;2023;Bike001;18;101;22
5;enero;2023;Zumba001;14;103;20
5;enero;2023;Zumba001;19;103;19
5;enero;2023;Pilates001;11;104;21
5;enero;2023;Pilates001;17;104;22
6;enero;2023;Yoga001;10;100;22
6;enero;2023;Yoga001;16;100;20
6;enero;2023;Bike001;12;101;24
6;enero;2023;Bike001;18;101;21
6;enero;2023;Zumba001;14;103;22
6;enero;2023;Zumba001;19;103;23
6;enero;2023;Pilates001;11;104;23
6;enero;2023;Pilates001;17;104;18
7;enero;2023;Yoga001;10;100;21
7;enero;2023;Yoga001;16;100;24
7;enero;2023;Bike001;12;101;19
7;enero;2023;Bike001;18;101;20
7;enero;2023;Zumba001;14;103;21
7;enero;2023;Zumba001;19;103;24
7;enero;2023;Pilates001;11;104;18
7;enero;2023;Pilates001;17;104;20
8;enero;2023;Yoga001;10;100;22
8;enero;2023;Yoga001;16;100;23
8;enero;2023;Bike001;12;101;18
8;enero;2023;Bike001;18;101;19
8;enero;2023;Zumba001;14;103;20
8;enero;2023;Zumba001;19;103;22
8;enero;2023;Pilates001;11;104;21
8;enero;2023;Pilates001;17;104;24
9;enero;2023;Yoga001;10;100;23
9;enero;2023;Yoga001;16;100;18
9;enero;2023;Bike001;12;101;21
9;enero;2023;Bike001;18;101;22
9;enero;2023;Zumba001;14;103;23
9;enero;2023;Zumba001;19;103;20
9;enero;2023;Pilates001;11;104;22
9;enero;2023;Pilates001;17;104;19
10;enero;2023;Yoga001;10;100;24
10;enero;2023;Yoga001;16;100;20
10;enero;2023;Bike001;12;101;22
10;enero;2023;Bike001;18;101;20
10;enero;2023;Zumba001;14;103;22
10;enero;2023;Zumba001;19;103;20
10;enero;2023;Pilates001;11;104;22
10;enero;2023;Pilates001;17;104;23
11;enero;2023;Yoga001;10;100;18
11;enero;2023;Yoga001;16;100;21
11;enero;2023;Bike001;12;101;19
11;enero;2023;Bike001;18;101;23
11;enero;2023;Zumba001;14;103;17
11;enero;2023;Zumba001;19;103;24
11;enero;2023;Pilates001;11;104;19
11;enero;2023;Pilates001;17;104;21
12;enero;2023;Yoga001;10;100;20
12;enero;2023;Yoga001;16;100;19
12;enero;2023;Bike001;12;101;22
12;enero;2023;Bike001;18;101;20
12;enero;2023;Zumba001;14;103;18
12;enero;2023;Zumba001;19;103;22
12;enero;2023;Pilates001;11;104;20
12;enero;2023;Pilates001;17;104;18
13;enero;2023;Yoga001;10;100;25
13;enero;2023;Yoga001;16;100;22
13;enero;2023;Bike001;12;101;21
13;enero;2023;Bike001;18;101;19
13;enero;2023;Zumba001;14;103;23
13;enero;2023;Zumba001;19;103;21
13;enero;2023;Pilates001;11;104;24
13;enero;2023;Pilates001;17;104;20
14;enero;2023;Yoga001;10;100;19
14;enero;2023;Yoga001;16;100;23
14;enero;2023;Bike001;12;101;18
14;enero;2023;Bike001;18;101;22
14;enero;2023;Zumba001;14;103;20
14;enero;2023;Zumba001;19;103;19
14;enero;2023;Pilates001;11;104;21
14;enero;2023;Pilates001;17;104;22
15;enero;2023;Yoga001;10;100;22
15;enero;2023;Yoga001;16;100;20









