dia;mes;año;codClase;hora;codigoMonitor;nParticipantes
1;marzo;2023;Yoga001;10;100;24
1;marzo;2023;Yoga001;16;100;20
1;marzo;2023;Bike001;12;101;22
1;marzo;2023;Bike001;18;101;20
1;marzo;2023;Zumba001;14;103;22
1;marzo;2023;Zumba001;19;103;20
1;marzo;2023;Pilates001;11;104;22
1;marzo;2023;Pilates001;17;104;23
2;marzo;2023;Yoga001;10;100;18
2;marzo;2023;Yoga001;16;100;21
2;marzo;2023;Bike001;12;101;19
2;marzo;2023;Bike001;18;101;23
2;marzo;2023;Zumba001;14;103;17
2;marzo;2023;Zumba001;19;103;24
2;marzo;2023;Pilates001;11;104;19
2;marzo;2023;Pilates001;17;104;21
3;marzo;2023;Yoga001;10;100;20
3;marzo;2023;Yoga001;16;100;19
3;marzo;2023;Bike001;12;101;22
3;marzo;2023;Bike001;18;101;20
3;marzo;2023;Zumba001;14;103;18
3;marzo;2023;Zumba001;19;103;22
3;marzo;2023;Pilates001;11;104;20
3;marzo;2023;Pilates001;17;104;18
4;marzo;2023;Yoga001;10;100;25
4;marzo;2023;Yoga001;16;100;22
4;marzo;2023;Bike001;12;101;21
4;marzo;2023;Bike001;18;101;19
4;marzo;2023;Zumba001;14;103;23
4;marzo;2023;Zumba001;19;103;21
4;marzo;2023;Pilates001;11;104;24
4;marzo;2023;Pilates001;17;104;20
5;marzo;2023;Yoga001;10;100;19
5;marzo;2023;Yoga001;16;100;23
5;marzo;2023;Bike001;12;101;18
5;marzo;2023;Bike001;18;101;22
5;marzo;2023;Zumba001;14;103;20
5;marzo;2023;Zumba001;19;103;19
5;marzo;2023;Pilates001;11;104;21
5;marzo;2023;Pilates001;17;104;22
6;marzo;2023;Yoga001;10;100;22
6;marzo;2023;Yoga001;16;100;20
6;marzo;2023;Bike001;12;101;24
6;marzo;2023;Bike001;18;101;21
6;marzo;2023;Zumba001;14;103;22
6;marzo;2023;Zumba001;19;103;23
6;marzo;2023;Pilates001;11;104;23
6;marzo;2023;Pilates001;17;104;18
7;marzo;2023;Yoga001;10;100;21
7;marzo;2023;Yoga001;16;100;24
7;marzo;2023;Bike001;12;101;19
7;marzo;2023;Bike001;18;101;20
7;marzo;2023;Zumba001;14;103;21
7;marzo;2023;Zumba001;19;103;24
7;marzo;2023;Pilates001;11;104;18
7;marzo;2023;Pilates001;17;104;20
8;marzo;2023;Yoga001;10;100;22
8;marzo;2023;Yoga001;16;100;23
8;marzo;2023;Bike001;12;101;18
8;marzo;2023;Bike001;18;101;19
8;marzo;2023;Zumba001;14;103;20
8;marzo;2023;Zumba001;19;103;22
8;marzo;2023;Pilates001;11;104;21
8;marzo;2023;Pilates001;17;104;24
9;marzo;2023;Yoga001;10;100;23
9;marzo;2023;Yoga001;16;100;18
9;marzo;2023;Bike001;12;101;21
9;marzo;2023;Bike001;18;101;22
9;marzo;2023;Zumba001;14;103;23
9;marzo;2023;Zumba001;19;103;20
9;marzo;2023;Pilates001;11;104;22
9;marzo;2023;Pilates001;17;104;19
10;marzo;2023;Yoga001;10;100;24
10;marzo;2023;Yoga001;16;100;20
10;marzo;2023;Bike001;12;101;22
10;marzo;2023;Bike001;18;101;20
10;marzo;2023;Zumba001;14;103;22
10;marzo;2023;Zumba001;19;103;20
10;marzo;2023;Pilates001;11;104;22
10;marzo;2023;Pilates001;17;104;23
11;marzo;2023;Yoga001;10;100;18
11;marzo;2023;Yoga001;16;100;21
11;marzo;2023;Bike001;12;101;19
11;marzo;2023;Bike001;18;101;23
11;marzo;2023;Zumba001;14;103;17
11;marzo;2023;Zumba001;19;103;24
11;marzo;2023;Pilates001;11;104;19
11;marzo;2023;Pilates001;17;104;21
12;marzo;2023;Yoga001;10;100;20
12;marzo;2023;Yoga001;16;100;19
12;marzo;2023;Bike001;12;101;22
12;marzo;2023;Bike001;18;101;20
12;marzo;2023;Zumba001;14;103;18
12;marzo;2023;Zumba001;19;103;22
12;marzo;2023;Pilates001;11;104;20
12;marzo;2023;Pilates001;17;104;18
13;marzo;2023;Yoga001;10;100;25
13;marzo;2023;Yoga001;16;100;22
13;marzo;2023;Bike001;12;101;21
13;marzo;2023;Bike001;18;101;19
13;marzo;2023;Zumba001;14;103;23
13;marzo;2023;Zumba001;19;103;21
13;marzo;2023;Pilates001;11;104;24
13;marzo;2023;Pilates001;17;104;20
14;marzo;2023;Yoga001;10;100;19
14;marzo;2023;Yoga001;16;100;23
14;marzo;2023;Bike001;12;101;18
14;marzo;2023;Bike001;18;101;22
14;marzo;2023;Zumba001;14;103;20
14;marzo;2023;Zumba001;19;103;19
14;marzo;2023;Pilates001;11;104;21
14;marzo;2023;Pilates001;17;104;22
15;marzo;2023;Yoga001;10;100;22
15;marzo;2023;Yoga001;16;100;20

